emoji,unicode,r,g,b,hex_color
"🤸",129336,207,152,87,"#cf9857"
"🤼",129340,225,148,65,"#e19441"
"🤽",129341,150,154,156,"#969a9c"
"🤾",129342,212,146,87,"#d49257"
"🤹",129337,187,152,116,"#bb9874"
"🧘",129496,237,159,46,"#ed9f2e"
"🛀",128704,197,189,185,"#c5bdb9"
"🛌",128716,80,83,143,"#50538f"
"👭",128109,168,131,125,"#a8837d"
"👫",128107,161,137,130,"#a18982"
"👬",128108,153,144,135,"#999087"
"💏",128143,240,123,76,"#f07b4c"
"💑",128145,242,124,83,"#f27c53"
"👪",128106,240,142,59,"#f08e3b"
"🗣",128483,0,0,0,"#000000"
"👤",128100,78,49,122,"#4e317a"
"👥",128101,78,49,123,"#4e317b"
"🫂",129730,103,74,148,"#674a94"
"👣",128099,82,52,128,"#523480"
"🐵",128053,175,113,132,"#af7184"
"🐒",128018,146,86,100,"#925664"
"🦍",129421,113,107,124,"#716b7c"
"🦧",129447,195,105,65,"#c36941"
"🐶",128054,197,136,117,"#c58875"
"🐕",128021,235,166,126,"#eba67e"
"🦮",129454,221,159,130,"#dd9f82"
"🦺",129466,242,108,103,"#f26c67"
"🐩",128041,177,168,189,"#b1a8bd"
"🐺",128058,167,163,170,"#a7a3aa"
"🦊",129418,226,140,85,"#e28c55"
"🦝",129437,165,158,170,"#a59eaa"
"🐱",128049,245,161,75,"#f5a14b"
"🐈",128008,234,161,113,"#eaa171"
"🦁",129409,183,124,95,"#b77c5f"
"🐯",128047,208,128,98,"#d08062"
"🐅",128005,220,109,82,"#dc6d52"
"🐆",128006,239,167,75,"#efa74b"
"🐴",128052,108,74,81,"#6c4a51"
"🫎",129742,184,118,100,"#b87664"
"🫏",129743,180,158,163,"#b49ea3"
"🐎",128014,117,82,80,"#755250"
"🦄",129412,195,151,242,"#c397f2"
"🦓",129427,148,141,155,"#948d9b"
"🦌",129420,210,148,103,"#d29467"
"🦬",129452,134,87,88,"#865758"
"🐮",128046,192,158,161,"#c09ea1"
"🐂",128002,126,79,78,"#7e4f4e"
"🐃",128003,104,98,113,"#686271"
"🐄",128004,177,164,181,"#b1a4b5"
